time,rr,tg,tn,tx,pp,hu,fg,qq,et
1990-02-11,0.0,-12.88,-18.66,-7.39,988.5,89.215004,1.36,10.0,0.048611805
1990-02-12,0.0,-8.41,-13.889999,-3.04,986.7,78.015,1.79,15.0,0.09307359
1990-02-13,0.0,-5.87,-11.469999,-3.1399999,993.60004,83.785,2.08,12.0,0.08397896
1990-02-14,0.0,-7.31,-11.83,-4.7,996.8,85.310524,2.3899999,13.0,0.08463925
1990-02-15,1.9,-6.74,-7.74,-5.95,994.60004,79.155,2.86,17.0,0.114008166
1990-02-16,0.0,-8.929999,-10.9,-6.77,991.5,85.700005,0.65,15.0,0.09029678
1990-02-17,0.0,-9.349999,-15.259999,-4.0,1000.5,78.305,2.31,3.0,0.017550694
1990-02-18,1.4,-6.8599997,-17.08,-1.65,996.5,73.205,4.44,14.0,0.09321513
1990-02-19,0.0,-4.25,-8.47,-1.8199999,993.10004,66.26,4.23,13.0,0.09811154
1990-02-20,1.7,-0.58,-6.39,4.17,971.9,73.145004,3.9399998,19.0,0.16992238
1990-02-21,1.5,0.22999999,-1.31,3.1299999,986.5,78.67,2.29,19.0,0.17388116
1990-02-22,4.4,-0.42,-4.06,2.08,991.8,83.0,3.27,12.0,0.106695384
1990-02-23,6.1,0.26,-3.4099998,4.44,986.8,87.985,2.84,18.0,0.16489255
1990-02-24,1.8000001,-0.62,-3.1399999,2.46,981.3,84.86,3.62,16.0,0.1420373
1990-02-25,0.0,-6.6099997,-8.23,-2.48,988.8,86.39,3.04,40.0,0.2710609
1990-02-26,0.0,-10.219999,-17.23,-3.58,973.5,77.815,3.83,25.0,0.14251702
1990-02-27,0.0,-8.559999,-9.559999,-4.02,960.5,76.21,3.32,33.0,0.20717658
1990-02-28,0.0,-4.64,-10.429999,-1.9699999,961.5,82.025,4.13,38.0,0.2878631
1990-03-01,0.0,-5.56,-8.92,-2.86,976.8,84.54,3.1599998,23.0,0.16524403
1990-03-02,1.0,-8.19,-11.11,-5.0499997,993.10004,83.555,3.72,38.0,0.23733625
1990-03-03,0.5,-10.639999,-13.69,-7.99,1005.3,70.375,3.4399998,39.0,0.21216679
1990-03-04,0.90000004,-10.29,-14.759999,-8.179999,987.4,80.01,2.29,43.0,0.24164315
1990-03-05,2.6000001,-6.3999996,-10.75,-3.0,969.7,79.435005,2.58,33.0,0.22897498
1990-03-06,1.0,-6.95,-8.45,-4.7,978.3,84.805,3.03,33.0,0.22159806
1990-03-07,0.0,-11.469999,-16.38,-5.7599998,993.5,67.125,2.02,69.0,0.3618411
1990-03-08,0.0,-9.24,-12.179999,-5.2599998,982.0,70.21,3.79,47.0,0.28036815
1990-03-09,1.0,-8.41,-15.5199995,-3.87,981.7,82.895004,2.9399998,36.0,0.22419631
1990-03-10,0.0,-7.83,-11.0199995,-4.12,989.9,84.455,1.61,43.0,0.27413163
1990-03-11,0.0,-12.009999,-15.299999,-7.9199996,994.9,85.79,1.03,44.0,0.22363007
1990-03-12,0.0,-18.119999,-22.93,-14.179999,1000.0,83.85,1.39,74.0,0.2584502
1990-03-13,0.0,-9.929999,-17.22,-6.18,1017.10004,72.22,1.88,60.0,0.33622712
1990-03-14,0.0,-13.09,-20.72,-6.91,1015.4,70.5,1.9,74.0,0.34797826
1990-03-15,4.4,0.14,-7.6499996,5.0,992.8,76.83,3.1899998,25.0,0.22712673
1990-03-16,0.0,-0.12,-1.43,2.07,993.60004,73.57,5.31,41.0,0.36851478
1990-03-17,1.6,0.63,-1.17,2.55,1007.2,69.415,3.01,46.0,0.4223514
1990-03-18,0.0,1.9399999,-2.81,6.18,1000.9,50.175003,5.7599998,49.0,0.47450373
1990-03-19,0.0,-0.29,-2.36,2.6499999,994.5,65.345,3.01,46.0,0.41045144
1990-03-20,0.0,-2.49,-6.23,1.5699999,991.4,81.56,1.52,76.0,0.62045395
1990-03-21,0.0,-4.66,-10.9,0.96999997,990.2,73.06,2.35,80.0,0.5937552
1990-03-22,0.90000004,-2.61,-3.77,-0.06,978.9,83.175,2.03,54.0,0.44214112
1990-03-23,0.0,-2.51,-4.7,0.69,982.2,88.495,1.61,44.0,0.36103338
1990-03-24,0.0,-4.12,-12.74,0.17,983.10004,74.270004,3.31,66.0,0.5043927
1990-03-25,0.0,-3.47,-5.2799997,-1.64,998.60004,75.605,1.62,78.0,0.6073673
1990-03-26,0.0,-7.14,-11.13,-3.58,1016.9,72.78,1.43,91.0,0.5891009
1990-03-27,0.0,3.24,-4.92,6.0299997,1006.10004,68.835,5.0899997,66.0,0.6679521
1990-03-28,1.1,-0.35999998,-2.4299998,3.6299999,1011.2,75.435005,4.1,83.0,0.73112273
1990-03-29,0.90000004,0.01,-3.34,2.98,1003.3,54.760002,2.7,111.0,0.99700356
1990-03-30,4.1,-2.74,-4.5499997,1.4,988.5,69.41,3.83,58.0,0.46932593
1990-03-31,0.0,-3.56,-5.45,0.74,1005.9,75.355,4.23,67.0,0.5171665
1990-04-01,0.0,-5.83,-7.19,-3.9499998,1006.4,72.085,5.1099997,92.0,0.6394125
1990-04-02,0.0,-7.3799996,-9.66,-4.08,1003.3,67.11,3.97,108.0,0.6974906
1990-04-03,0.0,-11.4,-15.13,-7.0499997,999.10004,72.520004,1.7099999,96.0,0.50322664
1990-04-04,0.0,-10.84,-14.759999,-6.2799997,998.10004,76.75,1.8399999,97.0,0.5248079
1990-04-05,0.0,-10.809999,-13.889999,-6.3999996,1008.60004,73.89,1.87,113.0,0.60754496
1990-04-06,0.0,-10.28,-17.789999,-4.17,1015.3,63.420002,2.27,127.0,0.6993102
1990-04-07,0.0,-7.43,-10.66,-3.52,1017.9,75.16,1.8299999,153.0,0.9755559
1990-04-08,1.6,-6.75,-18.85,0.79999995,1000.2,81.98,4.83,87.0,0.58088076
1990-04-09,0.0,-2.05,-4.0,0.45,990.8,79.045,2.6699998,84.0,0.69896513
1990-04-10,0.0,-0.63,-4.67,4.2999997,985.0,77.985,1.49,129.0,1.1421133
1990-04-11,0.0,-1.4,-8.2699995,5.67,993.10004,67.62,1.67,135.0,1.1525521
1990-04-12,0.0,5.67,2.61,8.28,991.10004,63.075,6.5299997,86.0,0.95227236
1990-04-13,0.0,3.12,1.38,6.91,1001.5,68.735,6.12,167.0,1.6872095
1990-04-14,0.0,3.87,1.28,7.5099998,1007.60004,60.72,4.0699997,169.0,1.7470567
1990-04-15,0.0,3.6399999,-0.88,7.3599997,1007.9,73.82,5.79,113.0,1.1586646
1990-04-16,0.0,4.27,2.71,6.6099997,1007.8,78.53,5.94,120.0,1.2575418
1990-04-17,0.0,3.09,2.01,6.37,1009.5,69.255005,3.79,129.0,1.2961932
1990-04-18,0.0,2.47,-0.84999996,5.75,1017.7,72.165,2.6699998,97.0,0.9487938
1990-04-19,2.3,1.9499999,0.35999998,4.37,1022.5,88.355,3.1499999,133.0,1.2727754
1990-04-20,0.0,2.55,-0.39,5.5,1033.9,71.090004,2.28,173.0,1.6820192
1990-04-21,0.0,1.11,-4.24,7.7599998,1030.1,63.63,1.1899999,214.0,1.975243
1990-04-22,1.2,0.14,-3.1999998,4.85,1019.0,82.96,1.38,214.0,1.9141259
1990-04-23,0.0,1.64,0.29999998,4.13,1018.8,73.69,3.09,126.0,1.1943613
1990-04-24,0.0,1.17,-1.9,4.9,1023.10004,68.105,0.89,205.0,1.904157
1990-04-25,0.0,5.66,0.81,9.88,1012.5,69.575005,2.7,148.0,1.6204346
1990-04-26,0.0,7.39,3.74,10.349999,995.8,59.905,3.6899998,169.0,1.9696374
1990-04-27,0.0,2.74,1.23,7.6499996,997.2,60.7,4.8199997,151.0,1.508616
1990-04-28,0.0,0.65999997,-1.49,3.0,1002.7,68.36,4.85,181.0,1.6681983
1990-04-29,3.7,1.9399999,-0.44,5.44,995.10004,78.155,3.8899999,155.0,1.5059514
1990-04-30,0.0,0.65999997,-0.94,3.31,1007.5,74.275,6.7599998,195.0,1.7921703
1990-05-01,0.0,1.18,-1.4399999,4.99,1026.2001,75.645004,3.26,163.0,1.5119296
1990-05-02,5.3,4.79,-0.42,10.38,1017.60004,80.58,6.1299996,126.0,1.336963
1990-05-03,0.0,5.0299997,3.4099998,8.04,1016.3,76.975,6.6099997,161.0,1.7232723
1990-05-04,0.0,4.14,1.36,7.0499997,1014.9,74.025,3.6899998,126.0,1.3096079
1990-05-05,0.0,3.32,1.5899999,6.87,1011.10004,71.715004,3.5,142.0,1.4372513
1990-05-06,2.1000001,3.06,0.71999997,6.8399997,1008.5,72.575005,5.33,168.0,1.6871883
1990-05-07,0.0,-0.98999995,-2.22,2.02,1016.2,83.975,3.84,174.0,1.4894692
1990-05-08,0.0,1.3399999,-1.9,5.7999997,1008.4,69.545,4.5899997,155.0,1.4613748
1990-05-09,0.0,0.65999997,-1.6999999,3.27,1013.5,68.56,2.56,179.0,1.639351
1990-05-10,1.2,0.39999998,-1.65,4.5699997,1003.4,75.25,4.24,178.0,1.6233892
1990-05-11,0.0,0.19999999,-3.49,3.74,1016.10004,85.395004,3.59,201.0,1.805208
1990-05-12,0.0,1.4399999,-0.04,3.5,1022.9,68.020004,2.11,173.0,1.6237383
1990-05-13,0.0,2.1,-0.049999997,3.8899999,1019.2,78.235,1.8399999,191.0,1.8414447
1990-05-14,0.0,1.9499999,1.23,4.45,1013.8,80.405,2.47,228.0,2.1926208
1990-05-15,0.0,1.27,-0.55,3.6699998,1012.4,75.340004,1.5699999,135.0,1.2665141
1990-05-16,1.1,1.18,-0.83,4.27,1009.5,87.33158,2.9399998,145.0,1.3579487
1990-05-17,1.2,0.39999998,-0.89,3.35,1010.4,83.965004,3.1299999,176.0,1.5985247
1990-05-18,1.1,-0.06,-2.1299999,3.25,1015.9,81.25,2.98,190.0,1.6891084
1990-05-19,0.0,1.14,-1.24,3.72,1021.8,81.515,4.72,126.0,1.169888
1990-05-20,0.0,1.55,0.34,2.87,1019.10004,77.56,4.22,160.0,1.5112551
1990-05-21,0.0,2.3,-0.39,4.95,1016.2,84.615005,3.24,134.0,1.3036563
1990-05-22,0.0,2.46,-0.04,4.9,1016.3,73.755005,1.05,145.0,1.4188861
1990-05-23,0.0,2.79,-2.05,6.33,1013.10004,57.945,0.55,171.0,1.6964724
1990-05-24,2.4,4.31,0.16,8.17,1009.0,68.12,1.88,159.0,1.6674542
1990-05-25,2.7,2.8,0.51,5.8199997,1009.10004,78.71,2.48,160.0,1.5914284
1990-05-26,0.0,4.23,0.35999998,8.48,1013.2,74.105,3.6699998,204.0,2.1287928
1990-05-27,0.0,6.3799996,-0.17,11.2699995,1018.8,59.420002,2.1599998,223.0,2.4907525
1990-05-28,0.0,4.98,2.6799998,9.84,1021.3,78.590004,3.4199998,252.0,2.6858509
1990-05-29,0.0,4.7999997,1.8199999,9.2,1019.3,66.445,2.37,207.0,2.1952355
1990-05-30,0.0,7.69,2.29,11.46,1008.8,60.010002,2.51,180.0,2.103611
1990-05-31,0.0,4.7799997,1.41,10.07,1014.9,48.365,1.14,181.0,1.9226148
1990-06-01,0.0,4.58,1.25,8.97,1012.10004,53.2,2.82,146.0,1.5426859
1990-06-02,0.0,5.49,1.9,9.28,1008.5,65.855,1.66,222.0,2.4221852
1990-06-03,1.0,4.17,1.93,6.58,1006.3,70.5,2.9199998,154.0,1.6096269
1990-06-04,0.0,6.89,3.6399999,9.559999,1010.3,62.685,4.56,226.0,2.5756958
1990-06-05,0.0,7.94,3.6899998,12.04,1012.3,57.865,3.1,203.0,2.3862135
1990-06-06,0.0,10.889999,4.2999997,15.45,1012.60004,52.56,0.57,289.0,3.6904624
1990-06-07,0.0,12.929999,6.66,18.57,1012.8,38.495003,3.32,319.0,4.2903347
1990-06-08,0.0,11.13,7.77,15.83,1012.5,63.845,3.1599998,323.0,4.151018
1990-06-09,0.0,9.17,3.99,13.429999,1016.5,59.895,3.32,309.0,3.7572446
1990-06-10,0.0,10.7,4.1,15.91,1015.2,58.055,3.0,275.0,3.4900293
1990-06-11,0.0,11.889999,6.3399997,16.24,1014.5,62.225002,1.14,263.0,3.444148
1990-06-12,1.4,6.91,5.23,14.9,1015.3,84.815,2.85,185.0,2.104569
1990-06-13,3.5,5.6299996,3.4199998,7.89,1015.10004,75.215004,3.02,199.0,2.173828
1990-06-14,0.0,7.77,3.77,11.04,1018.10004,68.665,2.1399999,154.0,1.7960918
1990-06-15,0.0,8.11,6.18,11.0,1017.60004,68.045,2.85,249.0,2.9343913
1990-06-16,1.5,6.79,5.42,8.679999,1016.3,76.01,2.97,122.0,1.382032
1990-06-17,0.0,5.2799997,4.39,7.33,1017.9,60.345,3.33,158.0,1.7038306
1990-06-18,0.0,5.8399997,4.21,8.08,1019.60004,72.635,4.0899997,147.0,1.6130923
1990-06-19,0.0,8.19,4.7999997,11.3,1022.9,65.985,3.3799999,213.0,2.5098467
1990-06-20,0.0,12.57,6.06,18.41,1020.10004,51.11,2.83,245.0,3.2563303
1990-06-21,0.0,14.53,8.75,20.39,1015.8,44.13,3.34,261.0,3.6413908
1990-06-22,0.0,14.75,10.98,19.32,1013.0,64.32,3.08,170.0,2.3862412
1990-06-23,0.0,17.14,9.389999,24.89,1008.7,54.79,3.75,281.0,4.1591654
1990-06-24,0.0,15.99,10.2,22.439999,1009.60004,50.72,3.37,281.0,4.0588245
1990-06-25,5.2000003,15.16,10.79,21.81,1008.60004,63.395,3.23,246.0,3.490719
1990-06-26,4.8,8.849999,6.8999996,17.289999,1000.4,84.175,3.0,174.0,2.1120949
1990-06-27,2.3,8.55,6.45,11.73,1000.0,70.325005,3.76,217.0,2.6119325
1990-06-28,0.0,8.01,5.99,10.719999,1008.2,67.915,3.1,260.0,3.068559
1990-06-29,13.7,7.04,3.84,10.38,1003.4,82.975006,1.87,186.0,2.1368623
1990-06-30,3.6000001,5.97,4.39,8.38,1013.10004,89.46842,3.4399998,127.0,1.4040668
1990-07-01,0.0,9.639999,4.56,15.66,1014.5,61.04,1.89,243.0,2.9968128
1990-07-02,0.0,11.82,7.27,15.28,1007.10004,60.495003,4.31,202.0,2.6487901
1990-07-03,0.0,12.41,7.69,18.97,999.8,80.785,3.6999998,88.0,1.1747154
1990-07-04,3.4,10.87,8.11,15.71,1003.8,92.40625,1.99,172.0,2.2036123
1990-07-05,0.0,12.33,7.96,17.05,1005.8,81.130005,1.7199999,241.0,3.2027912
1990-07-06,2.6000001,14.63,9.36,20.359999,1004.3,57.175003,1.28,213.0,2.9915783
1990-07-07,2.2,11.0,9.0,16.06,1000.9,93.17143,2.1699998,124.0,1.596099
1990-07-08,0.90000004,11.78,9.22,15.339999,1000.8,91.566666,2.83,168.0,2.2065501
1990-07-09,1.4,11.95,8.059999,16.42,997.60004,88.295,2.33,193.0,2.5492618
1990-07-10,10.1,11.559999,8.75,15.5,996.3,92.975006,2.3799999,134.0,1.7534769
1990-07-11,2.5,8.84,7.8399997,12.86,1003.4,87.475,2.8,141.0,1.7086583
1990-07-12,0.0,9.69,4.23,15.29,1003.10004,75.4,4.87,133.0,1.6509595
1990-07-13,8.1,7.49,6.5499997,11.34,1009.4,79.335,3.21,115.0,1.335515
1990-07-14,0.0,8.37,5.35,12.2699995,1021.0,70.58,2.37,134.0,1.5887883
1990-07-15,0.0,11.42,5.13,17.05,1022.5,51.355,0.83,238.0,3.0688708
1990-07-16,0.0,10.58,7.5099998,15.049999,1022.60004,67.12,2.79,156.0,1.9670954
1990-07-17,0.0,10.51,8.66,12.2,1020.3,76.665,2.97,158.0,1.9905419
1990-07-18,1.2,13.599999,9.639999,17.539999,1017.5,81.45,0.90999997,148.0,2.0191448
1990-07-19,2.1000001,12.42,10.61,14.82,1020.7,86.335,1.13,171.0,2.2637377
1990-07-20,0.0,15.139999,7.64,21.25,1019.10004,64.42,2.1699998,181.0,2.5571868
1990-07-21,2.5,14.799999,11.969999,20.68,1014.8,74.32,2.6,135.0,1.8958122
1990-07-22,17.0,12.15,11.25,15.28,1016.7,92.693756,2.21,150.0,1.9755417
1990-07-23,1.2,10.98,9.82,13.23,1021.3,92.69445,2.1699998,157.0,2.002137
1990-07-24,0.0,11.38,9.09,14.67,1024.7001,86.395004,1.35,157.0,2.0204291
1990-07-25,0.0,11.98,9.33,15.719999,1024.1,78.065,1.36,186.0,2.4316587
1990-07-26,0.0,13.2,8.05,18.13,1022.9,70.705,0.84,188.0,2.5348785
1990-07-27,0.5,11.17,9.91,15.03,1020.10004,83.62,2.33,147.0,1.8850185
1990-07-28,0.0,11.58,9.099999,16.22,1018.4,72.04,0.76,181.0,2.3476686
1990-07-29,0.0,14.29,7.2999997,19.16,1015.4,50.120003,2.4099998,215.0,2.983547
1990-07-30,0.0,14.91,8.83,19.55,1015.10004,69.235,2.26,192.0,2.7026677
1990-07-31,1.1,12.389999,7.0499997,16.93,1018.0,80.085,1.8399999,117.0,1.5494215
1990-08-01,0.0,14.29,10.25,19.029999,1023.0,82.92,1.5999999,140.0,1.9371152
1990-08-02,1.6,14.559999,10.599999,20.22,1022.8,77.43,1.8,159.0,2.2139409
1990-08-03,4.0,13.719999,11.4,19.21,1012.0,84.605,2.02,44.0,0.6033004
1990-08-04,0.0,10.13,8.599999,13.28,1005.9,72.255005,2.07,136.0,1.7065763
1990-08-05,3.6000001,9.01,4.0699997,12.74,996.0,80.86,1.9399999,153.0,1.8694625
1990-08-06,0.0,8.63,7.1,11.139999,1000.4,75.4,6.12,159.0,1.9178756
1990-08-07,0.0,8.01,4.9,10.76,1007.10004,86.200005,2.97,123.0,1.4524225
1990-08-08,0.0,10.33,6.37,14.66,1004.60004,79.195,1.81,87.0,1.0982752
1990-08-09,3.0,10.21,7.64,13.04,1010.8,91.74737,1.76,128.0,1.6062026
1990-08-10,0.0,8.84,7.7,10.55,1014.60004,83.51,2.9299998,145.0,1.748061
1990-08-11,0.0,11.309999,7.5099998,16.14,1014.8,66.495,1.28,203.0,2.6185958
1990-08-12,0.0,13.95,6.64,19.93,1010.2,57.285,2.4099998,169.0,2.3314252
1990-08-13,0.0,12.559999,6.29,17.9,1007.5,70.630005,5.12,123.0,1.6428303
1990-08-14,0.0,12.83,7.18,18.43,1008.5,78.22,0.57,114.0,1.5321412
1990-08-15,0.0,15.04,11.599999,18.939999,1008.3,74.475,0.96,109.0,1.5427461
1990-08-16,0.0,13.889999,8.349999,17.869999,1012.10004,80.755005,2.58,134.0,1.8446217
1990-08-17,0.0,17.8,13.96,21.82,1011.10004,70.335,0.94,149.0,2.233118
1990-08-18,11.8,13.65,11.66,18.67,1008.9,81.935005,2.61,81.0,1.1101372
1990-08-19,10.8,11.849999,9.349999,14.67,1013.7,93.583336,2.32,84.0,1.0992773
1990-08-20,1.1,11.84,10.03,15.16,1009.60004,90.80527,1.53,99.0,1.2974703
1990-08-21,2.6000001,11.19,8.22,14.299999,1009.0,91.776924,2.04,78.0,1.0054963
1990-08-22,0.0,10.46,9.26,12.57,1010.2,86.725,2.6,86.0,1.0867847
1990-08-23,3.2,8.55,7.0099998,10.45,1009.0,84.565,2.84,91.0,1.0907295
1990-08-24,1.3000001,7.7799997,4.95,10.309999,1008.9,87.775,1.49,111.0,1.3006667
1990-08-25,2.0,6.23,3.3,9.73,1007.5,89.74,2.34,111.0,1.2408849
1990-08-26,0.0,7.37,3.53,10.83,1011.9,86.31,2.3,107.0,1.2366017
1990-08-27,0.0,7.91,4.41,11.559999,1015.2,80.19,1.73,90.0,1.0555279
1990-08-28,0.8,7.5099998,4.12,10.929999,1015.5,86.590004,2.1399999,76.0,0.88054794
1990-08-29,0.0,9.469999,5.23,13.429999,1018.4,83.240005,1.0799999,58.0,0.71064156
1990-08-30,0.0,11.24,8.7699995,13.59,1020.2,87.39,0.91999996,80.0,1.0277063
1990-08-31,0.0,12.559999,6.79,18.06,1017.5,79.075005,1.11,91.0,1.2104743
1990-09-01,0.0,12.67,6.92,18.56,1017.2,75.34,1.7099999,131.0,1.7475238
1990-09-02,0.0,10.139999,3.9599998,15.2,1019.2,63.495003,1.5799999,140.0,1.7469378
1990-09-03,0.0,10.139999,3.98,15.099999,1020.8,77.935,2.78,100.0,1.2469323
1990-09-04,0.0,8.01,0.51,13.5199995,1018.9,75.64,1.41,152.0,1.7848648
1990-09-05,0.0,5.7599998,-0.81,10.559999,1016.4,78.415,1.9399999,97.0,1.0633855
1990-09-06,0.0,7.97,5.5099998,9.12,1015.8,83.225,1.5899999,101.0,1.1863207
1990-09-07,0.0,9.92,5.85,14.4,1015.60004,75.165,1.8299999,134.0,1.6646335
1990-09-08,0.0,7.27,3.3,10.84,1016.8,79.41,1.8499999,61.0,0.7011677
1990-09-09,0.0,7.46,2.33,12.66,1019.0,85.655,1.17,104.0,1.2011118
1990-09-10,0.0,8.99,4.52,14.849999,1024.8,89.505264,0.83,77.0,0.92794377
1990-09-11,0.0,7.8999996,2.55,12.44,1022.0,61.88,1.53,78.0,0.9115763
1990-09-12,3.0,5.73,2.3999999,8.349999,1011.7,89.86842,1.31,37.0,0.40619406
1990-09-13,0.0,5.54,3.04,8.46,1009.4,88.18,1.79,75.0,0.81926256
1990-09-14,1.8000001,3.85,-1.31,7.1299996,1004.2,79.65,2.45,71.0,0.7348057
1990-09-15,0.0,5.87,2.86,9.389999,1015.5,87.630005,2.03,72.0,0.79248947
1990-09-16,0.0,6.0899997,3.4499998,10.32,1018.2,81.705,1.52,57.0,0.63098276
1990-09-17,0.0,5.94,-0.72999996,12.03,1008.2,66.74,2.8,89.0,0.9854397
1990-09-18,1.4,7.62,1.7099999,11.53,1003.9,71.71,3.4499998,60.0,0.7013806
1990-09-19,0.90000004,6.62,2.0,8.639999,996.3,67.12,4.95,61.0,0.6942012
1990-09-20,1.6,6.31,5.18,7.73,993.5,67.9,6.62,42.0,0.4740336
1990-09-21,0.0,5.31,3.97,7.96,1005.60004,73.44,4.5299997,57.0,0.61918503
1990-09-22,0.0,2.1299999,0.77,3.84,1012.7,66.945,3.32,66.0,0.63934624
1990-09-23,0.0,1.48,-1.01,5.16,1013.3,80.25,2.33,88.0,0.83174473
1990-09-24,0.0,1.11,-2.8899999,5.0299997,1013.60004,89.25,2.07,55.0,0.51249415
1990-09-25,0.0,1.65,-1.3199999,4.79,1015.9,90.63684,1.64,48.0,0.4559166
1990-09-26,0.0,1.8299999,-0.68,3.3799999,1016.8,78.770004,1.15,57.0,0.54478586
1990-09-27,0.0,0.75,-2.04,3.9099998,1008.9,66.905,4.41,44.0,0.40546545
1990-09-28,0.0,-0.71,-5.31,2.09,999.3,62.34,3.6899998,45.0,0.39366555
1990-09-29,0.0,0.97999996,-2.33,3.49,1000.7,70.485,1.24,42.0,0.39234728
1990-09-30,1.3000001,2.61,0.39999998,5.25,1004.7,90.72222,0.77,53.0,0.5248412
1990-10-01,1.3000001,1.56,0.82,2.76,1009.3,90.9,1.27,32.0,0.30406058
1990-10-02,0.0,0.55,-1.99,3.77,1012.8,84.700005,1.79,31.0,0.28281334
1990-10-03,0.0,2.6399999,-2.09,7.5699997,1011.5,76.69,1.77,27.0,0.26665196
1990-10-04,1.6,3.97,0.98999995,7.43,1000.9,79.7,4.83,17.0,0.17698264
1990-10-05,0.0,4.45,1.79,6.62,989.9,74.605,3.58,16.0,0.17031178
1990-10-06,0.0,4.0,2.01,6.87,989.8,80.14,1.88,20.0,0.20967974
1990-10-07,1.3000001,1.66,-1.11,4.0899997,990.7,89.887505,2.26,12.0,0.11567913
1990-10-08,0.0,-1.54,-3.1399999,1.87,993.0,87.21,2.54,25.0,0.21221551
1990-10-09,1.0,-2.32,-4.8599997,0.28,973.8,81.555,3.34,28.0,0.23286864
1990-10-10,0.0,2.73,-1.9399999,4.13,975.0,93.9,2.75,25.0,0.25281268
1990-10-11,1.9,1.0699999,-0.03,3.46,994.7,88.01579,1.5999999,36.0,0.33863834
