time,rr,tg,tn,tx,pp,hu,fg,qq
1990-03-05,0.0,2.74,0.53,8.38,1033.1,76.35,2.8999999,132.0
1990-03-06,0.0,8.01,0.06,10.849999,1022.10004,50.115,4.91,92.0
1990-03-07,0.0,5.0899997,2.71,10.37,1024.9,74.85,3.24,97.0
1990-03-08,0.0,4.88,-1.81,14.5199995,1022.4,72.805,1.4399999,148.0
1990-03-09,0.0,8.599999,-0.089999996,13.65,1021.7,58.025,5.79,120.0
1990-03-10,4.2000003,8.54,4.91,9.91,1030.2001,79.51,5.8399997,43.0
1990-03-11,0.0,10.21,7.6099997,17.15,1028.9,72.74,3.7099998,164.0
1990-03-12,0.0,9.639999,3.4499998,16.67,1023.0,70.61,2.07,127.0
1990-03-13,0.0,5.24,-1.4499999,13.42,1026.8,66.415,1.61,167.0
1990-03-14,0.0,6.22,-0.099999994,11.759999,1029.6,82.085,1.4699999,62.0
1990-03-15,0.0,5.58,-0.84,14.549999,1036.3,76.545,1.31,160.0
1990-03-16,0.0,5.77,-0.98999995,15.17,1036.7001,70.01,1.56,175.0
1990-03-17,0.0,7.04,-1.5799999,17.369999,1034.2001,64.085,1.9399999,188.0
1990-03-18,0.0,7.22,-1.5899999,17.68,1034.0,70.705,1.18,196.0
1990-03-19,0.0,8.53,-1.04,19.65,1033.2001,69.285,0.91999996,192.0
1990-03-20,0.0,8.48,1.26,13.37,1028.7001,84.130005,3.35,66.0
1990-03-21,0.0,12.48,7.54,19.23,1021.4,67.705,3.31,166.0
1990-03-22,1.5,14.71,4.2799997,22.16,1018.10004,62.175,2.58,164.0
1990-03-23,0.0,5.75,3.56,14.92,1024.4,74.06,2.56,152.0
1990-03-24,1.0,6.37,-1.91,14.839999,1020.3,72.865,1.79,208.0
1990-03-25,0.90000004,2.08,0.47,6.95,1019.2,78.235,4.44,135.0
1990-03-26,0.0,2.9299998,-1.01,5.8599997,1020.2,72.61,1.64,82.0
1990-03-27,3.7,5.62,-2.36,9.139999,1019.9,58.57,3.52,118.0
1990-03-28,2.7,2.6399999,0.71999997,6.2799997,1016.2,92.552635,2.04,52.0
1990-03-29,0.0,5.58,2.3799999,6.19,1026.1,89.28,2.06,53.0
1990-03-30,0.0,6.99,5.46,11.57,1032.3,82.595,1.4499999,97.0
1990-03-31,0.0,6.95,-0.82,15.54,1034.2001,77.655,1.23,201.0
1990-04-01,0.0,8.91,0.11,17.89,1024.2001,74.135,1.6899999,231.0
1990-04-02,0.0,9.67,1.28,18.33,1010.0,71.015,1.01,212.0
1990-04-03,1.3000001,7.96,4.3399997,16.449999,1002.5,69.805,3.31,131.0
1990-04-04,0.0,3.9499998,0.04,8.32,1015.10004,67.65,2.9299998,172.0
1990-04-05,4.0,3.3,0.48999998,6.12,1017.9,87.67,1.6899999,81.0
1990-04-06,0.0,5.2799997,2.47,6.6299996,1011.4,85.335,3.04,73.0
1990-04-07,4.0,4.1,3.79,5.29,1007.5,84.985,3.26,51.0
1990-04-08,2.2,3.55,1.49,4.8399997,1015.8,80.615,3.9099998,80.0
1990-04-09,0.0,4.3199997,-1.04,7.56,1012.9,51.215,4.11,150.0
1990-04-10,3.2,4.91,-0.82,10.679999,1010.3,53.475002,2.1299999,249.0
1990-04-11,11.0,3.31,1.04,7.71,1008.5,91.600006,3.56,101.0
1990-04-12,0.0,3.07,0.51,8.0199995,1016.9,75.565,1.68,145.0
1990-04-13,0.0,4.5699997,-2.3899999,10.86,1016.10004,82.645004,1.9,167.0
1990-04-14,4.4,6.18,1.28,14.15,1012.2,80.020004,3.02,151.0
1990-04-15,7.5,3.77,0.049999997,7.29,1009.2,88.22,3.6999998,116.0
1990-04-16,1.3000001,5.19,0.84999996,9.55,1018.10004,75.725,3.1,195.0
1990-04-17,1.4,5.5299997,0.55,10.53,1018.10004,76.825005,2.25,188.0
1990-04-18,4.8,4.6,1.35,5.18,1017.60004,91.135,1.81,117.0
1990-04-19,4.3,6.0899997,4.21,8.139999,1012.2,86.725,1.63,116.0
1990-04-20,0.0,9.88,4.27,15.389999,1006.0,62.690002,2.86,210.0
1990-04-21,0.0,11.66,6.6299996,16.35,1005.3,57.41,2.8799999,215.0
1990-04-22,0.0,9.969999,7.0899997,13.71,1007.5,72.135,1.8399999,170.0
1990-04-23,2.4,9.13,7.33,10.86,1005.5,79.365005,1.81,75.0
1990-04-24,2.2,8.05,6.81,11.139999,1009.5,83.895004,2.48,103.0
1990-04-25,2.4,8.849999,6.43,12.53,1014.4,82.700005,2.72,133.0
1990-04-26,7.5,8.37,5.25,13.38,1018.2,81.325005,2.1699998,188.0
1990-04-27,2.2,7.8799996,2.76,10.71,1018.9,81.86,4.04,84.0
1990-04-28,0.0,5.5299997,3.46,10.099999,1027.4,61.555,2.44,241.0
1990-04-29,0.0,8.62,2.57,14.929999,1028.1,66.445,1.42,275.0
1990-04-30,0.0,11.809999,1.2099999,18.32,1027.5,68.775,1.06,255.0
1990-05-01,0.0,14.63,4.2,21.779999,1028.7001,62.88,2.06,298.0
1990-05-02,0.0,17.42,7.66,22.99,1030.7001,51.100002,3.31,293.0
1990-05-03,0.0,15.58,8.059999,20.779999,1029.5,44.135002,3.1499999,305.0
1990-05-04,0.0,16.47,5.8599997,23.189999,1024.6,49.72,2.74,307.0
1990-05-05,0.0,16.43,7.2599998,24.83,1019.60004,58.315002,2.6599998,302.0
1990-05-06,0.0,13.509999,7.0099998,23.31,1017.3,74.17,1.62,274.0
1990-05-07,0.0,13.92,5.7799997,21.689999,1015.2,69.305,1.5999999,256.0
1990-05-08,0.0,12.74,7.27,18.43,1016.60004,77.3,1.0699999,214.0
1990-05-09,0.0,14.37,8.05,21.63,1015.2,71.32,1.25,261.0
1990-05-10,2.1000001,15.2699995,7.99,23.359999,1014.10004,61.99,1.76,290.0
1990-05-11,3.8,12.23,11.2699995,15.03,1012.7,88.265,1.75,162.0
1990-05-12,0.0,13.09,9.679999,18.529999,1011.10004,65.485,1.38,274.0
1990-05-13,0.0,13.349999,6.29,20.17,1011.9,70.825005,1.81,277.0
1990-05-14,0.0,14.23,9.7,19.859999,1015.10004,61.055,1.37,270.0
1990-05-15,0.0,15.23,7.33,22.39,1017.7,58.895,0.96,286.0
1990-05-16,0.0,16.619999,8.38,23.22,1017.7,68.36,1.8,281.0
1990-05-17,0.0,15.65,11.679999,21.699999,1015.9,66.885,2.35,280.0
1990-05-18,0.0,14.44,6.98,20.0,1017.60004,56.11,2.18,285.0
1990-05-19,0.0,14.589999,7.3999996,20.48,1019.7,51.24,3.08,299.0
1990-05-20,0.0,14.34,6.66,20.449999,1018.2,48.63,3.25,318.0
1990-05-21,0.0,15.719999,6.7,20.55,1012.8,63.795002,1.41,244.0
1990-05-22,0.0,15.66,10.55,21.35,1013.0,66.085,1.35,262.0
1990-05-23,1.9,16.6,8.349999,24.109999,1013.9,69.125,1.5899999,226.0
1990-05-24,0.0,16.32,9.0199995,21.029999,1011.8,73.795,1.93,157.0
1990-05-25,0.0,11.23,10.09,14.75,1016.5,57.605,3.29,186.0
1990-05-26,0.0,10.83,4.39,15.92,1023.3,50.49,2.1299999,297.0
1990-05-27,0.0,12.009999,2.95,18.06,1022.9,44.955,1.73,331.0
1990-05-28,0.0,9.23,3.53,15.259999,1024.0,58.13,2.47,282.0
1990-05-29,0.0,8.25,0.87,15.139999,1025.5,58.845,1.37,297.0
1990-05-30,0.0,11.969999,0.03,18.77,1021.10004,44.635002,1.09,325.0
1990-05-31,0.0,13.599999,2.31,21.32,1020.3,48.835003,1.06,305.0
1990-06-01,0.0,16.42,4.64,24.439999,1017.5,49.155003,1.66,297.0
1990-06-02,14.0,12.15,8.83,18.76,1010.0,76.590004,3.6799998,160.0
1990-06-03,1.5,12.23,6.8199997,16.05,1011.0,73.455,2.83,187.0
1990-06-04,0.0,12.99,10.53,16.56,1007.3,64.0,4.4,212.0
1990-06-05,0.0,14.849999,5.5699997,19.27,1011.7,51.305,1.6999999,253.0
1990-06-06,0.0,12.53,10.969999,15.49,1012.5,83.645004,1.1999999,90.0
1990-06-07,0.0,14.53,9.11,18.68,1010.8,78.340004,2.37,106.0
1990-06-08,11.2,10.7,8.75,14.429999,1006.10004,87.61,2.8,144.0
1990-06-09,5.9,10.54,4.18,16.26,1010.10004,75.44,2.83,237.0
1990-06-10,16.0,10.33,6.06,14.28,1012.0,82.94,3.9499998,140.0
1990-06-11,0.0,12.34,9.42,15.29,1016.10004,82.405,2.85,130.0
1990-06-12,19.5,13.63,8.44,17.44,1013.8,81.43,1.5,117.0
1990-06-13,5.6,12.99,11.5199995,15.66,1015.60004,88.645004,1.8,95.0
1990-06-14,0.0,14.679999,10.5199995,17.84,1016.4,76.425,1.3399999,144.0
1990-06-15,1.8000001,13.929999,11.63,18.57,1016.3,80.01,1.64,120.0
1990-06-16,1.5,13.0,11.759999,15.44,1017.10004,86.22,1.0699999,169.0
1990-06-17,0.0,14.7699995,8.16,21.15,1014.3,71.37,0.91999996,284.0
1990-06-18,0.0,16.119999,7.87,20.369999,1013.0,77.835,1.8499999,211.0
1990-06-19,0.0,17.99,10.59,25.49,1014.2,69.075005,1.63,329.0
1990-06-20,11.8,18.0,13.61,25.58,1012.3,69.42,2.06,203.0
1990-06-21,0.0,15.78,13.08,20.21,1011.7,71.965004,2.58,272.0
1990-06-22,4.5,12.46,10.96,15.96,1010.7,88.655,2.6799998,116.0
1990-06-23,6.2000003,11.5199995,9.61,15.67,1017.3,89.19,2.51,183.0
1990-06-24,0.0,16.16,8.28,18.74,1022.2,82.455,1.5899999,221.0
1990-06-25,0.0,18.19,7.95,24.369999,1023.2,69.555,1.22,313.0
1990-06-26,0.0,20.359999,11.08,27.16,1018.9,65.42,2.05,340.0
1990-06-27,4.5,21.689999,13.2699995,28.519999,1013.10004,64.885,2.12,279.0
1990-06-28,0.0,19.08,16.65,21.24,1015.60004,79.770004,2.01,158.0
1990-06-29,16.7,19.98,13.219999,27.859999,1016.0,70.48,1.75,300.0
1990-06-30,34.8,20.76,14.179999,27.619999,1013.3,76.8,1.61,293.0
1990-07-01,0.0,15.059999,12.98,20.01,1014.3,67.67,3.24,246.0
1990-07-02,0.0,13.53,7.66,19.189999,1014.3,79.21,1.42,210.0
1990-07-03,9.2,14.11,8.84,19.72,1010.60004,82.65,2.21,145.0
1990-07-04,0.0,13.849999,10.889999,17.8,1014.5,75.555,2.35,213.0
1990-07-05,12.2,13.86,11.07,16.51,1007.7,85.105,3.1899998,85.0
1990-07-06,1.0,11.5199995,9.91,15.179999,1015.9,77.91,4.54,177.0
1990-07-07,6.2000003,12.33,7.08,15.95,1022.2,77.335,2.4299998,173.0
1990-07-08,1.9,15.61,11.55,17.109999,1018.2,93.64445,2.59,78.0
1990-07-09,0.0,17.91,15.28,22.529999,1014.60004,84.7,2.77,157.0
1990-07-10,4.1,12.889999,10.21,17.46,1019.7,71.25,3.47,241.0
1990-07-11,0.0,13.63,6.48,18.21,1028.0,69.415,1.0699999,281.0
1990-07-12,0.0,16.93,5.81,23.699999,1023.8,63.34,1.75,337.0
1990-07-13,0.0,20.85,9.51,26.699999,1017.10004,60.2,1.4599999,325.0
1990-07-14,0.0,16.039999,11.98,21.55,1017.4,54.525,2.54,315.0
1990-07-15,0.0,15.12,7.72,23.109999,1019.3,61.495,1.5999999,306.0
1990-07-16,0.0,18.609999,7.5899997,26.539999,1019.2,59.11,1.76,285.0
1990-07-17,0.0,17.619999,12.99,21.96,1018.7,68.64,2.55,222.0
1990-07-18,0.0,15.0,9.19,17.14,1022.7,67.665,1.78,187.0
1990-07-19,0.0,14.299999,12.009999,19.02,1020.8,70.875,1.41,207.0
1990-07-20,0.0,16.029999,7.24,24.59,1020.9,68.095,1.16,318.0
1990-07-21,0.0,18.88,8.91,26.029999,1020.60004,64.365,1.2099999,314.0
1990-07-22,0.0,19.59,11.0199995,26.16,1019.60004,58.99,1.65,315.0
1990-07-23,0.0,18.109999,11.2,23.73,1018.8,46.99,2.1499999,309.0
1990-07-24,0.0,15.65,6.7799997,22.869999,1019.4,54.785,1.4499999,319.0
1990-07-25,0.0,16.57,6.3999996,23.189999,1017.4,57.3,1.48,312.0
1990-07-26,0.0,18.19,9.809999,25.1,1015.3,59.755,2.19,293.0
1990-07-27,0.0,18.51,9.7,26.74,1015.7,59.665,1.61,295.0
1990-07-28,0.0,20.199999,10.179999,29.039999,1017.0,53.125,2.01,311.0
1990-07-29,0.0,22.519999,10.38,30.46,1017.4,58.065002,1.6899999,266.0
1990-07-30,0.0,21.49,17.25,26.109999,1020.0,66.3,1.9499999,211.0
1990-07-31,2.5,21.8,16.32,25.869999,1021.2,69.14,1.39,177.0
1990-08-01,0.0,20.85,16.63,27.74,1022.8,70.17,1.36,270.0
1990-08-02,0.0,21.64,14.16,29.75,1022.2,51.055,2.4299998,303.0
1990-08-03,0.0,21.43,12.33,28.859999,1022.60004,50.855,2.7,311.0
1990-08-04,0.0,20.22,11.75,29.039999,1021.3,52.010002,1.5899999,306.0
1990-08-05,3.8,22.76,10.57,31.8,1015.0,52.850002,2.12,280.0
1990-08-06,1.4,15.86,14.69,21.43,1013.5,88.005,1.8399999,123.0
1990-08-07,0.0,14.45,10.62,18.42,1019.5,61.945,1.8399999,195.0
1990-08-08,0.0,13.78,5.81,21.55,1022.9,60.565,1.27,263.0
1990-08-09,0.0,15.7699995,5.7999997,23.91,1022.8,55.46,1.0799999,280.0
1990-08-10,0.0,18.98,7.91,26.73,1021.0,54.515,1.8,244.0
1990-08-11,0.0,19.65,10.559999,27.189999,1019.4,58.205,0.94,266.0
1990-08-12,0.0,21.31,12.24,30.26,1015.7,54.08,1.8499999,281.0
1990-08-13,0.0,21.42,12.15,30.01,1014.2,53.920002,2.25,238.0
1990-08-14,1.1,19.119999,14.71,25.15,1014.2,74.73,1.61,159.0
1990-08-15,0.0,18.69,16.41,23.26,1014.60004,73.355,2.01,186.0
1990-08-16,2.7,19.529999,11.41,26.109999,1013.60004,68.18,2.6699998,205.0
1990-08-17,2.6000001,13.259999,10.38,17.859999,1020.7,74.005,2.5,184.0
1990-08-18,0.0,14.929999,4.89,20.039999,1021.0,61.260002,1.79,218.0
1990-08-19,0.0,17.41,13.34,21.84,1018.8,66.445,2.26,235.0
1990-08-20,0.0,18.65,11.559999,25.119999,1012.60004,64.28,4.2999997,204.0
1990-08-21,2.4,14.45,11.259999,17.72,1016.9,63.73,4.56,106.0
1990-08-22,0.0,14.549999,12.08,17.77,1023.7,68.725,2.3799999,106.0
1990-08-23,0.0,15.88,6.31,23.73,1025.7001,67.91,1.16,230.0
1990-08-24,0.0,18.73,8.41,26.96,1021.0,64.515,1.67,260.0
1990-08-25,8.0,21.84,11.69,30.05,1014.9,55.895,1.99,232.0
1990-08-26,0.0,18.01,15.88,22.769999,1016.2,82.64,1.36,141.0
1990-08-27,0.0,19.65,13.98,26.72,1015.8,73.835,2.18,224.0
1990-08-28,0.0,19.38,12.45,27.539999,1017.10004,73.45,1.03,227.0
1990-08-29,0.0,19.85,13.38,28.92,1016.4,66.24,1.1999999,224.0
1990-08-30,0.0,19.689999,12.36,28.47,1013.60004,64.130005,1.6999999,213.0
1990-08-31,0.0,15.299999,12.33,24.5,1012.2,78.995,2.82,134.0
1990-09-01,0.0,13.04,11.01,16.449999,1017.9,73.085,2.25,102.0
1990-09-02,1.9,14.009999,11.01,18.68,1020.7,78.31,1.75,138.0
1990-09-03,4.7000003,13.679999,12.21,14.49,1017.5,92.98334,2.09,49.0
1990-09-04,5.1,15.639999,12.969999,21.97,1011.3,79.98,2.25,146.0
1990-09-05,0.0,10.51,8.179999,14.929999,1012.60004,75.92,2.84,175.0
1990-09-06,1.1,12.309999,3.73,18.67,1013.9,73.18,1.86,175.0
1990-09-07,14.6,9.9,8.72,12.71,1012.4,87.55,3.09,94.0
1990-09-08,1.6,10.49,8.25,14.86,1018.10004,87.35,2.8799999,119.0
1990-09-09,0.0,10.74,7.7799997,15.42,1024.9,75.535,2.21,151.0
1990-09-10,8.3,10.26,5.2599998,12.86,1022.5,86.855,2.51,83.0
1990-09-11,0.90000004,11.12,8.07,13.21,1021.4,87.65,2.32,89.0
1990-09-12,0.0,10.49,7.68,16.68,1024.8,75.85,1.42,159.0
1990-09-13,0.0,11.509999,4.35,18.39,1023.7,74.385,1.0699999,170.0
1990-09-14,0.0,11.36,4.7799997,20.01,1023.8,77.665,0.88,197.0
1990-09-15,0.0,11.23,4.58,18.31,1023.60004,75.185,1.49,171.0
1990-09-16,0.0,9.25,6.0299997,15.9,1024.2001,69.715004,1.62,173.0
1990-09-17,1.5,11.53,0.88,18.4,1018.0,74.325,1.8399999,188.0
1990-09-18,1.3000001,10.13,8.21,14.62,1019.9,75.635,3.73,146.0
1990-09-19,0.0,15.4,7.1299996,20.64,1013.3,63.47,3.1699998,160.0
1990-09-20,0.0,11.969999,7.6,16.96,1011.10004,66.225,3.02,136.0
1990-09-21,6.5,8.559999,7.0099998,14.9,1002.60004,81.075005,4.83,82.0
1990-09-22,21.6,11.58,4.41,16.699999,1004.2,93.90588,3.58,59.0
1990-09-23,2.6000001,13.61,9.469999,18.21,1006.60004,83.72,2.28,113.0
1990-09-24,0.0,8.139999,4.94,13.0,1008.7,77.425,3.99,133.0
1990-09-25,0.0,9.51,2.49,15.009999,1013.5,76.28,3.87,119.0
1990-09-26,0.0,9.69,3.23,14.38,1021.2,78.475006,1.04,100.0
1990-09-27,0.0,7.8399997,4.12,13.57,1026.3,81.1,1.41,121.0
1990-09-28,0.0,7.56,1.4,14.92,1028.0,76.525,1.06,168.0
1990-09-29,0.0,10.3,2.6399999,19.31,1020.3,76.43,1.35,160.0
1990-09-30,1.9,14.41,7.0499997,20.32,1012.2,89.21,2.04,104.0
1990-10-01,23.4,15.719999,14.17,19.189999,1013.10004,88.895004,3.1499999,68.0
1990-10-02,0.0,9.23,7.29,14.0199995,1021.8,91.365,1.3199999,105.0
1990-10-03,0.0,11.29,5.9,15.99,1015.7,91.125,1.67,126.0
1990-10-04,3.3,9.5199995,8.42,14.21,1016.9,92.32,2.1499999,48.0
1990-10-05,0.0,7.5899997,3.78,14.059999,1026.3,79.505005,1.52,134.0
1990-10-06,0.0,11.969999,5.62,18.08,1016.3,77.475,2.54,119.0
1990-10-07,4.7000003,11.95,8.24,16.18,1008.8,81.100006,1.5999999,83.0
1990-10-08,0.0,6.1,4.65,10.7699995,1021.4,77.805,2.62,98.0
1990-10-09,0.0,4.61,-0.90999997,12.3,1027.5,80.64,1.02,138.0
1990-10-10,0.0,6.74,-0.17999999,16.34,1024.9,78.745,0.66999996,144.0
1990-10-11,0.0,8.32,1.9,17.22,1023.0,84.62,1.13,137.0
1990-10-12,0.0,11.65,3.6599998,21.119999,1021.3,74.94,2.76,137.0
1990-10-13,0.0,12.969999,7.7799997,22.31,1019.8,79.765,1.62,119.0
1990-10-14,0.0,13.23,7.58,21.82,1022.60004,85.08,0.9,125.0
1990-10-15,0.0,12.86,6.46,21.029999,1015.0,79.945,2.53,122.0
1990-10-16,0.0,12.969999,7.96,19.779999,1016.4,85.0,1.12,82.0
1990-10-17,0.0,11.65,8.47,14.929999,1011.60004,93.142105,1.25,54.0
1990-10-18,0.0,12.23,8.63,17.05,1011.8,86.985,1.1899999,78.0
1990-10-19,0.0,11.24,9.09,13.0,1012.10004,89.015,1.73,72.0
1990-10-20,0.0,11.08,9.15,13.5,1013.8,79.56,2.55,51.0
1990-10-21,0.0,5.89,3.08,10.61,1021.4,67.3,5.25,76.0
1990-10-22,0.0,4.94,0.29,9.37,1025.6,53.97,4.22,126.0
1990-10-23,0.0,3.07,-1.92,12.71,1018.10004,63.88,2.97,123.0
1990-10-24,0.0,3.8,-4.16,12.0199995,1016.4,80.135,0.72999996,110.0
1990-10-25,0.0,5.45,-0.48999998,13.2699995,1013.2,80.175,1.7199999,103.0
1990-10-26,1.2,5.62,1.86,10.48,1008.60004,87.625,1.8199999,82.0
1990-10-27,0.0,5.6099997,3.85,9.2,1010.0,90.73,1.81,34.0
1990-10-28,8.5,7.85,1.88,12.469999,1000.2,79.495,3.48,75.0
1990-10-29,11.6,7.23,6.0299997,9.38,988.60004,84.475,4.0099998,50.0
1990-10-30,3.0,5.45,2.56,8.9,995.60004,80.22,5.7999997,82.0
1990-10-31,4.1,7.6,2.27,8.88,1002.8,88.03,3.3,24.0
1990-11-01,1.3000001,5.9,4.5499997,10.53,1005.10004,85.275,4.2599998,59.0
1990-11-02,0.0,6.0499997,2.3999999,8.94,1004.60004,79.125,3.3899999,47.0
1990-11-03,1.0,2.6599998,-1.39,4.97,1005.8,93.85556,1.55,30.0
1990-11-04,2.7,3.4399998,2.59,5.23,1009.4,84.745,3.97,48.0
1990-11-05,0.0,1.67,1.17,3.6999998,1017.9,87.135,2.36,42.0
1990-11-06,0.0,0.089999996,-1.78,4.08,1029.0,89.04,0.88,47.0
1990-11-07,0.0,0.5,-3.04,1.88,1031.9,91.670006,0.95,31.0
1990-11-08,0.0,1.9,-0.45,4.25,1029.2001,81.75,1.3199999,38.0
1990-11-09,0.0,1.3299999,-1.4499999,7.81,1027.2001,81.96,1.91,75.0
1990-11-10,0.0,1.38,-4.36,2.49,1024.6,91.235,1.11,57.0
1990-11-11,6.7000003,6.8999996,2.12,8.15,1023.0,93.55334,1.81,20.0
1990-11-12,0.0,5.8599997,4.12,8.69,1027.2001,92.310005,1.3299999,29.0
1990-11-13,0.0,5.7799997,2.9299998,7.43,1026.1,89.76,1.54,46.0
1990-11-14,5.8,7.6499996,4.8399997,8.45,1018.10004,94.25883,2.28,19.0
1990-11-15,2.8,6.5499997,5.58,8.8,1018.8,90.57,2.8999999,30.0
1990-11-16,0.0,7.18,2.83,8.57,1026.9,86.035,2.77,45.0
1990-11-17,3.9,10.98,7.5699997,12.38,1015.8,80.94,6.7599998,26.0
1990-11-18,14.8,7.6299996,6.2599998,11.04,1010.7,84.645004,7.7999997,34.0
1990-11-19,6.3,4.37,3.6299999,6.31,1009.10004,86.705,5.13,22.0
1990-11-20,11.900001,6.6499996,2.97,9.8,998.2,94.03334,3.82,24.0
1990-11-21,4.5,3.8799999,3.73,9.76,1006.9,87.87,3.1699998,17.0
